symbol,name,country,cap_index,shares,currency
8053.TSE,Sumitomo,Japan,Blue Chip,1230303667,JPY
4005.TSE,Sumitomo Chemical,Japan,Mid Cap,1655860207,JPY
4506.TSE,Sumitomo Dainippon Pharma,Japan,Small Cap,397900154,JPY
5802.TSE,Sumitomo Denki K≈çgy≈ç,Japan,Mid Cap,793940571,JPY
5713.TSE,Sumitomo Metal Mining,Japan,Mid Cap,290814015,JPY
8316.TSE,Sumitomo Mitsui Financial Group,Japan,Blue Chip,1337051194,JPY
8309.TSE,Sumitomo Mitsui Trust Holdings,Japan,Blue Chip,364025840,JPY
8830.TSE,Sumitomo Realty & Development,Japan,Blue Chip,476085978,JPY
6736.TSE,Sun Corp,Japan,Small Cap,24007728,JPY
2587.TSE,Suntory,Japan,Blue Chip,309000000,JPY
7269.TSE,Suzuki Motor,Japan,Blue Chip,491146600,JPY
5805.TSE,SWCC Corporation,Japan,Small Cap,30826861,JPY
2347.TW,Synnex Technology International,Taiwan,Mid Cap,1667949952,TWD
6869.TSE,Sysmex,Japan,Blue Chip,209741942,JPY
091810.KO,T'Way Air,South Korea,Small Cap,200771551,KRW
8795.TSE,T&D Holdings,Japan,Mid Cap,589000000,JPY
2887.TW,Taishin Financial Holdings,Taiwan,Mid Cap,13001100288,TWD
4581.TSE,Taisho Pharmaceutical,Japan,Mid Cap,85139653,JPY
2834.TW,Taiwan Business Bank,Taiwan,Mid Cap,8029689856,TWD
1101.TW,Taiwan Cement,Taiwan,Mid Cap,7132179968,TWD
5880.TW,Taiwan Cooperative Financial,Taiwan,Blue Chip,14008899584,TWD
2633.TW,Taiwan High Speed Rail,Taiwan,Mid Cap,5628290048,TWD
3045.TW,Taiwan Mobile,Taiwan,Mid Cap,2820480000,TWD
2330.TW,Taiwan Semiconductor (TSMC),Taiwan,Blue Chip,5186400256,TWD
6976.TSE,Taiyo Yuden,Japan,Mid Cap,130218481,JPY
4502.TSE,Takeda Pharmaceutical,Japan,Blue Chip,1582327925,JPY
6762.TSE,TDK,Japan,Blue Chip,388771977,JPY
6028.TSE,TechnoPro Holdings,Japan,Mid Cap,108421164,JPY
4198.TSE,TENDA,Japan,Micro Cap,2184200,JPY
4543.TSE,Terumo,Japan,Blue Chip,747682540,JPY
3626.TSE,TIS,Japan,Mid Cap,244445411,JPY
4045.TSE,Toagosei,Japan,Small Cap,122100000,JPY
9001.TSE,Tobu Railway,Japan,Mid Cap,209815421,JPY
1860.TSE,TODA corp,Japan,Small Cap,322656796,JPY
4816.TSE,Toei Animation,Japan,Mid Cap,42000000,JPY
9602.TSE,Toho Co.,Japan,Mid Cap,186490633,JPY
9533.TSE,Toho Gas,Japan,Small Cap,105256285,JPY
9506.TSE,Tohoku Electric Power,Japan,Mid Cap,502882585,JPY
5301.TSE,Tokai Carbon,Japan,Small Cap,224943104,JPY
8766.TSE,Tokio Marine,Japan,Blue Chip,2002500000,JPY
8439.TSE,Tokyo Century,Japan,Mid Cap,123028320,JPY
8035.TSE,Tokyo Electron,Japan,Blue Chip,471632733,JPY
9531.TSE,Tōkyō Gas,Japan,Mid Cap,434875059,JPY
9005.TSE,Tokyu,Japan,Mid Cap,624869876,JPY
3289.TSE,Tokyu Fudosan Holdings,Japan,Mid Cap,719830974,JPY
214420.KO,Tonymoly,South Korea,Micro Cap,24054799,KRW
7911.TSE,Toppan,Japan,Mid Cap,328706240,JPY
3402.TSE,Toray Industries,Japan,Mid Cap,1631481403,JPY
4728.TSE,Tose Software,Japan,Micro Cap,7763040,JPY
6502.TSE,Toshiba,Japan,Blue Chip,433397301,JPY
5332.TSE,TOTO,Japan,Mid Cap,176981297,JPY
2875.TSE,Toyo Suisan,Japan,Mid Cap,110881044,JPY
5105.TSE,Toyo Tire,Japan,Mid Cap,154111029,JPY
7203.TSE,Toyota,Japan,Blue Chip,16314987460,JPY
6201.TSE,Toyota Industries,Japan,Blue Chip,325840640,JPY
8015.TSE,Toyota Tsusho,Japan,Blue Chip,354056516,JPY
