symbol,name,country,cap,shares,currency,
4528.TSE,Ono Pharmaceutical,Japan,Mid Cap,488334016,JPY,
011200.KO,HMM,South Korea,Mid Cap,489039008,KRW,
KT,KT Corporation,South Korea,Mid Cap,492836992,USD,
3064.TSE,Monotaro,Japan,Mid Cap,496907008,JPY,
9506.TSE,Tohoku Electric Power,Japan,Mid Cap,500012000,JPY,
4751.TSE,CyberAgent,Japan,Mid Cap,506076992,JPY,
2331.TSE,ALSOK,Japan,Mid Cap,506172992,JPY,
2502.TSE,Asahi Group,Japan,Blue Chip,506672992,JPY,
9101.TSE,Nippon Y≈´sen,Japan,Blue Chip,508174016,JPY,
2379.TW,Realtek,Taiwan,Mid Cap,512863008,TWD,
SHG,Shinhan Financial Group,South Korea,Blue Chip,518347008,USD,
8697.TSE,Japan Exchange Group,Japan,Mid Cap,520432992,JPY,
2802.TSE,Ajinomoto,Japan,Blue Chip,521760000,JPY,
HYMTF,Hyundai,South Korea,Blue Chip,523849984,USD,
028670.KO,Pan Ocean,South Korea,Mid Cap,534569984,KRW,
8725.TSE,MS&AD Insurance,Japan,Blue Chip,534577984,JPY,
4151.TSE,kyowa Kirin,Japan,Blue Chip,537472000,JPY,
4578.TSE,Otsuka Holdings,Japan,Blue Chip,542633984,JPY,
8795.TSE,T&D Holdings,Japan,Mid Cap,545262016,JPY,
2207.TW,Hotai Motor,Taiwan,Blue Chip,546179008,TWD,
2345.TW,Accton Technology,Taiwan,Mid Cap,557948992,TWD,
6594.TSE,Nidec,Japan,Blue Chip,575073024,JPY,
5411.TSE,JFE Holdings,Japan,Mid Cap,580944000,JPY,
5483.TWO,Sino-American Silicon Products,Taiwan,Mid Cap,586222016,TWD,
4307.TSE,Nomura Research Institute,Japan,Blue Chip,589827968,JPY,
8113.TSE,Unicharm,Japan,Blue Chip,591464000,JPY,
7532.TSE,Pan Pacific,Japan,Blue Chip,596563968,JPY,
9005.TSE,Tokyu,Japan,Mid Cap,600320000,JPY,
3034.TW,Novatek Microelectronics,Taiwan,Mid Cap,608512000,TWD,
7752.TSE,Ricoh Company,Japan,Mid Cap,609075008,JPY,
9143.TSE,SG Holdings,Japan,Mid Cap,628348032,JPY,
6981.TSE,Murata Manufacturing (Murata Seisakusho),Japan,Blue Chip,629724032,JPY,
7261.TSE,Mazda,Japan,Mid Cap,629963008,JPY,
034020.KO,Doosan Enerbility,South Korea,Mid Cap,640465024,KRW,
8046.TW,Nan Ya PCB,Taiwan,Mid Cap,646166016,TWD,
6753.TSE,Sharp Corporation,Japan,Mid Cap,649273984,JPY,
1928.TSE,Sekisui House,Japan,Blue Chip,652556032,JPY,
1925.TSE,Daiwa House,Japan,Blue Chip,657072000,JPY,
7832.TSE,Bandai Namco,Japan,Blue Chip,660049984,JPY,
5108.TSE,Bridgestone,Japan,Blue Chip,684353024,JPY,
000660.KO,SK Hynix,South Korea,Blue Chip,708217024,KRW,
3289.TSE,Tokyu Fudosan Holdings,Japan,Mid Cap,709622976,JPY,
LPL,LG Display,South Korea,Mid Cap,715630976,USD,
1802.TSE,Obayashi,Japan,Mid Cap,716896000,JPY,
2357.TW,ASUS,Taiwan,Mid Cap,742760000,TWD,
4543.TSE,Terumo,Japan,Blue Chip,744608000,JPY,
6902.TSE,Denso,Japan,Blue Chip,748822016,JPY,
9502.TSE,Chubu Electric Power,Japan,Mid Cap,756142976,JPY,
7270.TSE,Subaru,Japan,Blue Chip,758840000,JPY,
3003.TSE,Hulic,Japan,Mid Cap,762105024,JPY,
7202.TSE,Isuzu,Japan,Mid Cap,775134976,JPY,
CHT,Chunghwa Telecom,Taiwan,Blue Chip,775745024,USD,
2395.TW,Advantech,Taiwan,Blue Chip,778486976,TWD,
5802.TSE,Sumitomo Denki K≈çgy≈ç,Japan,Mid Cap,779873024,JPY,
024110.KO,Industrial Bank of Korea (IBK),South Korea,Mid Cap,797425984,KRW,
2503.TSE,Kirin Holdings,Japan,Blue Chip,811793024,JPY,
3659.TSE,Nexon,Japan,Blue Chip,854155008,JPY,
8267.TSE,Aeon,Japan,Blue Chip,854844992,JPY,
3382.TSE,7-Eleven,Japan,Blue Chip,883225024,JPY,
9503.TSE,KEPCO,Japan,Blue Chip,892483968,JPY,
5401.TSE,Nippon Steel,Japan,Blue Chip,920840000,JPY,
8801.TSE,Mitsui Fudosan,Japan,Blue Chip,933502976,JPY,
6501.TSE,Hitachi,Japan,Blue Chip,934174016,JPY,
6301.TSE,Komatsu,Japan,Blue Chip,945593984,JPY,
6954.TSE,Fanuc,Japan,Blue Chip,952918976,JPY,
8750.TSE,Dai-ichi Life Holdings,Japan,Blue Chip,987188992,JPY,
7751.TSE,Canon,Japan,Blue Chip,999128000,JPY,
2912.TW,President Chain Store (PSCS),Taiwan,Mid Cap,1039619968,TWD,
2501.TW,Cathay Real Estate Development,Taiwan,Small Cap,1159559936,TWD,
7974.TSE,Nintendo,Japan,Blue Chip,1164230016,JPY,
6326.TSE,Kubota,Japan,Blue Chip,1181069952,JPY,
8053.TSE,Sumitomo,Japan,Blue Chip,1221580032,JPY,
SONY,Sony,Japan,Blue Chip,1233980032,USD,
7733.TSE,Olympus,Japan,Blue Chip,1253580032,JPY,
KEP,Korea Electric Power,South Korea,Mid Cap,1283929984,USD,
8802.TSE,Mitsubishi Estate,Japan,Blue Chip,1284009984,JPY,
1605.TSE,Inpex,Japan,Blue Chip,1306899968,JPY,
TM,Toyota,Japan,Blue Chip,1354819968,USD,
3407.TSE,Asahi Kasei,Japan,Mid Cap,1386070016,JPY,
9613.TSE,NTT Data,Japan,Blue Chip,1402489984,JPY,
8058.TSE,Mitsubishi Corporation,Japan,Blue Chip,1415129984,JPY,
4188.TSE,Mitsubishi Chemical Holdings,Japan,Mid Cap,1422099968,JPY,
8601.TSE,Daiwa Securities Group,Japan,Mid Cap,1453059968,JPY,
8001.TSE,Itōchū Shōji,Japan,Blue Chip,1455260032,JPY,
9984.TSE,SoftBank,Japan,Blue Chip,1464039936,JPY,
7211.TSE,Mitsubishi Motors,Japan,Mid Cap,1487849984,JPY,
8031.TSE,Mitsui Bussan,Japan,Blue Chip,1515110016,JPY,
3037.TW,Unimicron,Taiwan,Mid Cap,1523800064,TWD,
8572.TSE,Acom,Japan,Mid Cap,1566610048,JPY,
5871.TW,Chailease Holding,Taiwan,Blue Chip,1582909952,TWD,
6098.TSE,Recruit,Japan,Blue Chip,1584220032,JPY,
2454.TW,MediaTek,Taiwan,Blue Chip,1591800064,TWD,
3402.TSE,Toray Industries,Japan,Mid Cap,1601020032,JPY,
CPNG,Coupang,South Korea,Blue Chip,1604060032,USD,
4005.TSE,Sumitomo Chemical,Japan,Mid Cap,1635369984,JPY,
4661.TSE,Oriental Land,Japan,Blue Chip,1638089984,JPY,
5347.TWO,Vanguard International Semiconductor,Taiwan,Mid Cap,1638979968,TWD,
4519.TSE,Chugai Pharmaceutical,Japan,Blue Chip,1644320000,JPY,
HMC,Honda,Japan,Blue Chip,1650269952,USD,
2347.TW,Synnex Technology International,Taiwan,Mid Cap,1667949952,TWD,
1434.TW,Formosa Taffeta,Taiwan,Small Cap,1682470016,TWD,
8002.TSE,Marubeni,Japan,Blue Chip,1686640000,JPY,
6723.TSE,Renesas Electronics,Japan,Blue Chip,1765200000,JPY,
2914.TSE,Japan Tobacco,Japan,Blue Chip,1774850048,JPY,
4503.TSE,Astellas Pharma,Japan,Blue Chip,1796760064,JPY,
4568.TSE,Daiichi Sankyō,Japan,Blue Chip,1917340032,JPY,
8766.TSE,Tokio Marine,Japan,Blue Chip,1984999936,JPY,
4063.TSE,Shin-Etsu Chemical,Japan,Blue Chip,2017549952,JPY,
6503.TSE,Mitsubishi Electric,Japan,Blue Chip,2108899968,JPY,
2603.TW,Evergreen Marine,Taiwan,Blue Chip,2116419968,TWD,
4755.TSE,Rakuten,Japan,Mid Cap,2135209984,JPY,
ASX,ASE Group,Taiwan,Blue Chip,2150249984,USD,
9433.TSE,KDDI,Japan,Blue Chip,2157309952,JPY,
6752.TSE,Panasonic,Japan,Blue Chip,2334109952,JPY,
4612.TSE,Nippon Paint,Japan,Blue Chip,2348430080,JPY,
8308.TSE,Resona Holdings,Japan,Blue Chip,2361639936,JPY,
UMC,United Microelectronics,Taiwan,Blue Chip,2500630016,USD,
2308.TW,Delta Electronics,Taiwan,Blue Chip,2597540096,TWD,
4938.TW,Pegatron,Taiwan,Mid Cap,2666650112,TWD,
3231.TW,Wistron Corporation,Taiwan,Mid Cap,2794749952,TWD,
2615.TW,Wan Hai Lines,Taiwan,Mid Cap,2806149888,TWD,
3045.TW,Taiwan Mobile,Taiwan,Mid Cap,2820480000,TWD,
2353.TW,Acer,Taiwan,Mid Cap,3001110016,TWD,
5020.TSE,ENEOS Holdings,Japan,Blue Chip,3014569984,JPY,
NMR,Nomura Holdings,Japan,Blue Chip,3048260096,USD,
2408.TW,Nanya Technology,Taiwan,Mid Cap,3098040064,TWD,
TAK,Takeda Pharmaceutical,Japan,Blue Chip,3109060096,USD,
4904.TW,Far EasTone,Taiwan,Mid Cap,3258500096,TWD,
6178.TSE,Japan Post Holdings,Japan,Blue Chip,3459810048,JPY,
2609.TW,Yang Ming,Taiwan,Mid Cap,3492100096,TWD,
1102.TW,Asia Cement,Taiwan,Mid Cap,3545929984,TWD,
7182.TSE,Japan Post Bank,Japan,Blue Chip,3617530112,JPY,
2382.TW,Quanta Computer,Taiwan,Blue Chip,3854520064,TWD,
7201.TSE,Nissan,Japan,Blue Chip,3917360128,JPY,
6770.TW,Powerchip Semiconductor Manufacturing,Taiwan,Mid Cap,4065649920,TWD,
5876.TW,Shanghai Commercial and Savings Bank,Taiwan,Mid Cap,4850209792,TWD,
TSM,Taiwan Semiconductor (TSMC),Taiwan,Blue Chip,5186400256,USD,
1402.TW,Far Eastern New Century,Taiwan,Mid Cap,5352099840,TWD,
2618.TW,EVA Air,Taiwan,Mid Cap,5369129984,TWD,
2633.TW,Taiwan High Speed Rail,Taiwan,Mid Cap,5628290048,TWD,
1326.TW,Formosa Chemicals & Fibre,Taiwan,Blue Chip,5849019904,TWD,
1216.TW,Uni-President Enterprises,Taiwan,Blue Chip,5862009856,TWD,
005930.KO,Samsung,South Korea,Blue Chip,5969780224,KRW,
2610.TW,China Airlines,Taiwan,Mid Cap,6011460096,TWD,
1301.TW,Formosa Plastics,Taiwan,Blue Chip,6365740032,TWD,
SMFG,Sumitomo Mitsui Financial Group,Japan,Blue Chip,6670709760,USD,
1101.TW,Taiwan Cement,Taiwan,Mid Cap,7132179968,TWD,
4689.TSE,Z Holdings,Japan,Blue Chip,7530570240,JPY,
1303.TW,Nan Ya Plastics,Taiwan,Blue Chip,7930820096,TWD,
2834.TW,Taiwan Business Bank,Taiwan,Mid Cap,8029689856,TWD,
3481.TW,Innolux,Taiwan,Mid Cap,9035650048,TWD,
6505.TW,Formosa Petrochemical,Taiwan,Blue Chip,9525959680,TWD,
2801.TW,Chang Hwa Commercial Bank,Taiwan,Mid Cap,10593500160,TWD,
MUFG,Mitsubishi UFJ Financial,Japan,Blue Chip,12022299648,USD,
2890.TW,Sinopac Financial Holdings,Taiwan,Mid Cap,12133799936,TWD,
2881.TW,Fubon Financial,Taiwan,Blue Chip,12395200512,TWD,
2885.TW,Yuanta Financial Holding,Taiwan,Mid Cap,12501600256,TWD,
MFG,Mizuho Financial Group,Japan,Blue Chip,12671099904,USD,
2887.TW,Taishin Financial Holdings,Taiwan,Mid Cap,13001100288,TWD,
2892.TW,First Financial Holding,Taiwan,Blue Chip,13223400448,TWD,
2880.TW,Hua Nan Financial Holdings,Taiwan,Mid Cap,13642699776,TWD,
2317.TW,Foxconn (Hon Hai Precision Industry),Taiwan,Blue Chip,13861499904,TWD,
2886.TW,MFHC,Taiwan,Blue Chip,13939800064,TWD,
5880.TW,Taiwan Cooperative Financial,Taiwan,Blue Chip,14008899584,TWD,
2882.TW,Cathay Financial Holding,Taiwan,Blue Chip,14669200384,TWD,
2884.TW,E.SUN Bank,Taiwan,Blue Chip,15075099648,TWD,
2888.TW,Shin Kong Financial Holding,Taiwan,Mid Cap,15487599616,TWD,
2883.TW,China Development Financial,Taiwan,Mid Cap,16504699904,TWD,
2891.TW,CTBC Financial Holding,Taiwan,Blue Chip,19583600640,TWD,
NPPXF,NTT (Nippon Telegraph & Telephone),Japan,Blue Chip,85262196736,USD,
2413.TSE,M3 Inc,Japan,Blue Chip,678921984,JPY,
4165.TSE,PLAID Inc.,Japan,Micro Cap,39185500,JPY,
4694.TSE,BML Inc.,Japan,38642700,JPY
