name,symbol,country,industry,Market Capitalization,Total Revenue ,Shares Outstanding (mm)
Airoha Technology Corp. ,6526.TWO,Taiwan,Semiconductors,2571,458,146
Nakanishi Inc. ,7716.TSE,Japan,Health Care Equipment,2023,363,85
Toho Gas Co. Ltd. ,9533.TSE,Japan,Gas Utilities,1841,4958,105
LEENO Industrial Inc. ,058470.KQ,South Korea,Semiconductors,1715,202,15
Fuji Kyuko Co. Ltd. ,9010.TSE,Japan,Leisure Facilities,1666,312,53
Frontier Real Estate Investment Corporation ,8964.TSE,Japan,Retail REITs,1659,159,1
STARLUX Airlines Co. Ltd. ,2646.TWO,Taiwan,Passenger Airlines,1524,405,2089
SMS Co. Ltd. ,2175.TSE,Japan,Human Resource and Employment Services,1449,334,88
Tokai Rika Co. Ltd. ,6995.TSE,Japan,Automotive Parts and Equipment,1443,3990,91
GS Yuasa Corporation ,6674.TSE,Japan,Electrical Components and Equipment,1442,3644,81
Aica Kogyo Company Limited ,4206.TSE,Japan,Specialty Chemicals,1439,1666,64
Sumitomo Pharma Co. Ltd. ,4506.TSE,Japan,Pharmaceuticals,1438,3260,397
Sanken Electric Co. Ltd. ,6707.TSE,Japan,Semiconductors,1414,1630,24
Nippon Kayaku Co. Ltd. ,4272.TSE,Japan,Specialty Chemicals,1411,1374,166
Daiei Kankyo Co. Ltd. ,9336.TSE,Japan,Environmental and Facilities Services,1407,477,100
Farglory Land Development Co. Ltd. ,5522.TW,Taiwan,Real Estate Development,1403,694,782
Caregen Co. Ltd. ,214370.KQ,South Korea,Pharmaceuticals,1400,61,49
Toho Holdings Co. Ltd. ,8129.TSE,Japan,Health Care Distributors,1380,9796,65
SHINSEGAE Inc. ,004170.KO,South Korea,Broadline Retail,1380,5549,10
SKY Perfect JSAT Holdings Inc. ,9412.TSE,Japan,Cable and Satellite,1367,846,289
Pilot Corporation ,7846.TSE,Japan,Office Services and Supplies,1363,808,39
Doosan Corporation ,000150.KO,South Korea,Industrial Conglomerates,1355,14131,18
