name,symbol,country,industry,Market Capitalization,Total Revenue ,Shares Outstanding (mm)
Pan Pacific International Holdings Corporation ,7532.TSE,Japan,Broadline Retail,12403,13396,597
Shimano Inc. ,7309.TSE,Japan,Leisure Products,12163,4070,90
China Steel Corporation ,2002.TW,Taiwan,Steel,12088,12430,15415
Taiwan Cooperative Financial Holding Co. Ltd. ,5880.TW,Taiwan,Diversified Banks,11695,1815,14709
Hotai Motor Co.Ltd. ,2207.TW,Taiwan,Automotive Retail,11332,8564,557
Formosa Chemicals & Fibre Corporation ,1326.TW,Taiwan,Commodity Chemicals,11171,10745,5849
Aisin Corporation ,7259.TSE,Japan,Automotive Parts and Equipment,10432,31792,270
Chailease Holding Company Limited ,5871.TW,Taiwan,Specialized Finance,10063,2028,1790
Kikkoman Corporation ,2801.TSE,Japan,Packaged Foods and Meats,10007,4355,191
ANA Holdings Inc. ,9202.TSE,Japan,Passenger Airlines,9907,12575,468
LG Corp. ,003550.KO,South Korea,Industrial Conglomerates,9863,5475,160
Oracle Corporation Japan ,4716.TSE,Japan,Systems Software,9458,1602,128
Samsung Fire & Marine Insurance Co. Ltd. ,000810.KO,South Korea,Property and Casualty Insurance,8031,17600,43
Kajima Corporation ,1812.TSE,Japan,Construction and Engineering,7959,17121,481
Shimadzu Corporation ,7701.TSE,Japan,Electronic Equipment and Instruments,7847,3408,295
Dentsu Group Inc. ,4324.TSE,Japan,Advertising,7815,8792,264
Yakult Honsha Co.Ltd. ,2267.TSE,Japan,Packaged Foods and Meats,7793,3439,312
Samsung SDS Co.Ltd. ,018260.KO,South Korea,IT Consulting and Other Services,7718,11495,77
Evergreen Marine Corporation (Taiwan) Ltd. ,2603.TW,Taiwan,Marine Transportation,7624,13336,2116
Capcom Co. Ltd. ,9697.TSE,Japan,Interactive Home Entertainment,7567,1000,209
Taishin Financial Holding Co. Ltd. ,2887.TW,Taiwan,Diversified Banks,7548,1703,13577
Samsung Electro-Mechanics Co. Ltd. ,009150.KO,South Korea,Electronic Components,7513,6525,76
MatsukiyoCocokara & Co. ,3088.TSE,Japan,Drug Retail,7474,6725,417
Celltrion Healthcare Co. Ltd. ,091990.KQ,South Korea,Health Care Distributors,7464,1569,161
ROHM Co. Ltd. ,6963.TSE,Japan,Semiconductors,7438,3479,393
Mazda Motor Corporation ,7261.TSE,Japan,Automobile Manufacturers,7418,29744,630
KT&G Corporation ,033780.KO,South Korea,Tobacco,7406,4376,116
Tokyo Electric Power Company Holdings Incorporated ,9501.TSE,Japan,Electric Utilities,7402,54898,1602
Taiwan Cement Corp. ,1101.TW,Taiwan,Construction Materials,7369,3842,7136
Far EasTone Telecommunications Co. Ltd. ,4904.TW,Taiwan,Wireless Telecommunication Services,7357,2904,3259
HYBE Co. Ltd. ,352820.KO,South Korea,Movies and Entertainment,7316,1527,42
Daito Trust Construction Co.Ltd. ,1878.TSE,Japan,Diversified Real Estate Activities,7302,11561,68
Ibiden Co.Ltd. ,4062.TSE,Japan,Electronic Components,7241,2862,140
Daifuku Co. Ltd. ,6383.TSE,Japan,Industrial Machinery and Supplies and Components,7029,4193,372
Meiji Holdings Co. Ltd. ,2269.TSE,Japan,Packaged Foods and Meats,6955,7454,279
Tokyu Corporation ,9005.TSE,Japan,Rail Transportation,6942,6649,598
Hulic Co. Ltd. ,3003.TSE,Japan,Real Estate Operating Companies,6913,3181,761
Osaka Gas Co. Ltd. ,9532.TSE,Japan,Gas Utilities,6881,16050,416
Woori Financial Group Inc. ,316140.KO,South Korea,Diversified Banks,6866,7697,759
Hikari Tsushin Inc. ,9435.TSE,Japan,Industrial Conglomerates,6854,4431,44
Yageo Corporation ,2327.TW,Taiwan,Electronic Components,6834,3609,419
Nippon Building Fund Incorporation ,8951.TSE,Japan,Office REITs,6833,653,2
China Development Financial Holding Corporation ,2883.TW,Taiwan,Life and Health Insurance,6751,193,18421
Zensho Holdings Co. Ltd. ,7550.TSE,Japan,Restaurants,6735,5643,151
SinoPac Financial Holdings Company Limited ,2890.TW,Taiwan,Diversified Banks,6693,1527,12386
Taisei Corporation ,1801.TSE,Japan,Construction and Engineering,6666,11357,187
Japan Post Insurance Co. Ltd. ,7181.TSE,Japan,Life and Health Insurance,6547,23329,383
Hamamatsu Photonics K.K. ,6965.TSE,Japan,Electronic Components,6538,1532,155
Fuji Electric Co. Ltd. ,6504.TSE,Japan,Electrical Components and Equipment,6529,7191,143
Nanya Technology Corporation ,2408.TW,Taiwan,Semiconductors,6312,1040,3098
ASICS Corporation ,7936.TSE,Japan,Footwear,6302,3801,183
Realtek Semiconductor Corp. ,2379.TW,Taiwan,Semiconductors,6291,3127,513
Rohto Pharmaceutical Co.Ltd. ,4527.TSE,Japan,Personal Care Products,6197,1712,228
Sekisui Chemical Co. Ltd. ,4204.TSE,Japan,Homebuilding,6194,8615,425
Alchip Technologies Limited ,3661.TW,Taiwan,Semiconductors,6189,699,74
KT Corporation ,030200.KO,South Korea,Integrated Telecommunication Services,6188,19771,253
AirTAC International Group ,1590.TW,Taiwan,Industrial Machinery and Supplies and Components,6081,874,200
Posco Dx Company Ltd. ,022100.KQ,South Korea,IT Consulting and Other Services,6073,1107,152
Toho Co. Ltd. ,9602.TSE,Japan,Movies and Entertainment,6050,1836,175
Nissan Chemical Corporation ,4021.TSE,Japan,Diversified Chemicals,5958,1554,140
Korean Air Lines Co. Ltd. ,003490.KO,South Korea,Passenger Airlines,5931,11586,369
HMM Company Limited ,011200.KO,South Korea,Marine Transportation,5868,9750,489
Global Unichip Corp. ,3443.TW,Taiwan,Semiconductors,5681,875,134
Concordia Financial Group Ltd. ,7186.TSE,Japan,Regional Banks,5493,1857,1174
Kobe Bussan Co. Ltd. ,3038.TSE,Japan,Food Retail,5221,3135,220
Nippon Prologis REIT Inc. ,3283.TSE,Japan,Industrial REITs,5208,403,3
Shimizu Corporation ,1803.TSE,Japan,Construction and Engineering,5129,13767,731
Hoshizaki Corporation ,6465.TSE,Japan,Industrial Machinery and Supplies and Components,5112,2455,145
Hyundai Glovis Co. Ltd. ,086280.KO,South Korea,Air Freight and Logistics,5103,20243,38
McDonald's Holdings Company (Japan) Ltd. ,2702.TSE,Japan,Restaurants,5101,2535,133
LG H&H Co. Ltd. ,051900.KO,South Korea,Personal Care Products,5101,5444,17
Yokogawa Electric Corporation ,6841.TSE,Japan,Electronic Equipment and Instruments,5052,3328,262
BayCurrent Consulting Inc. ,6532.TSE,Japan,Research and Consulting Services,5043,575,153
Mitsui Chemicals Inc. ,4183.TSE,Japan,Commodity Chemicals,5009,12528,190
SK Biopharmaceuticals Co. Ltd. ,326030.KO,South Korea,Pharmaceuticals,4982,220,78
EVA Airways Corp. ,2618.TW,Taiwan,Passenger Airlines,4961,5380,5369
Sojitz Corporation ,2768.TSE,Japan,Trading Companies and Distributors,4960,17151,211
Hanwha Ocean Co. Ltd. ,042660.KO,South Korea,Construction Machinery and Heavy Transportation Equipment,4953,4321,217
Kumyang Co. Ltd. ,001570.KO,South Korea,Commodity Chemicals,4947,132,56
Samsung Heavy Industries Co. Ltd. ,010140.KO,South Korea,Construction Machinery and Heavy Transportation Equipment,4942,5000,854
Tokyo Century Corporation ,8439.TSE,Japan,Specialized Finance,4932,9260,122
Yang Ming Marine Transport Corporation ,2609.TW,Taiwan,Marine Transportation,4929,7435,3492
Asahi Intecc Co. Ltd. ,7747.TSE,Japan,Health Care Supplies,4782,623,272
Far Eastern New Century Corporation ,1402.TW,Taiwan,Industrial Conglomerates,4779,8217,5352
Niterra Co. Ltd. ,5334.TSE,Japan,Automotive Parts and Equipment,4712,3966,203
Koito Manufacturing Co. Ltd. ,7276.TSE,Japan,Automotive Parts and Equipment,4707,6206,308
