symbol,name,country,industry,Market Capitalization,Total Revenue ,Shares Outstanding (mm),shares,currency,jakota_indicies
7532.TSE,Pan Pacific International Holdings Corporation ,Japan,Broadline Retail,12403,13396,597,596633984,JPY,"[consumer-50]"
7309.TSE,Shimano Inc. ,Japan,Leisure Products,12163,4070,90,90315696,JPY,"[consumer-50]"
2002.TW,China Steel Corporation ,Taiwan,Steel,12088,12430,15415,15414700032,TWD,"[]"
5880.TW,Taiwan Cooperative Financial Holding Co. Ltd. ,Taiwan,Diversified Banks,11695,1815,14709,14709399552,TWD,"[]"
2207.TW,Hotai Motor Co.Ltd. ,Taiwan,Automotive Retail,11332,8564,557,557102976,TWD,"[consumer-50]"
1326.TW,Formosa Chemicals & Fibre Corporation ,Taiwan,Commodity Chemicals,11171,10745,5849,5849019904,TWD,"[]"
7259.TSE,Aisin Corporation ,Japan,Automotive Parts and Equipment,10432,31792,270,269535008,JPY,"[]"
5871.TW,Chailease Holding Company Limited ,Taiwan,Specialized Finance,10063,2028,1790,1614569984,TWD,"[]"
2801.TSE,Kikkoman Corporation ,Japan,Packaged Foods and Meats,10007,4355,191,190670000,JPY,"[]"
9202.TSE,ANA Holdings Inc. ,Japan,Passenger Airlines,9907,12575,468,470462016,JPY,"[consumer-50]"
003550.KO,LG Corp. ,South Korea,Industrial Conglomerates,9863,5475,160,154586000,KRW,"[]"
4716.TSE,Oracle Corporation Japan ,Japan,Systems Software,9458,1602,128,128012000,JPY,"[tech-100]"
000810.KO,Samsung Fire & Marine Insurance Co. Ltd. ,South Korea,Property and Casualty Insurance,8031,17600,43,39828300,KRW,"[]"
1812.TSE,Kajima Corporation ,Japan,Construction and Engineering,7959,17121,481,482124000,JPY,"[]"
7701.TSE,Shimadzu Corporation ,Japan,Electronic Equipment and Instruments,7847,3408,295,294671008,JPY,"[tech-100]"
4324.TSE,Dentsu Group Inc. ,Japan,Advertising,7815,8792,264,264375008,JPY,"[]"
2267.TSE,Yakult Honsha Co.Ltd. ,Japan,Packaged Foods and Meats,7793,3439,312,312140992,JPY,"[]"
018260.KO,Samsung SDS Co.Ltd. ,South Korea,IT Consulting and Other Services,7718,11495,77,77350200,KRW,"[]"
2603.TW,Evergreen Marine Corporation (Taiwan) Ltd. ,Taiwan,Marine Transportation,7624,13336,2116,2116419968,TWD,"[]"
9697.TSE,Capcom Co. Ltd. ,Japan,Interactive Home Entertainment,7567,1000,209,209112000,JPY,"[consumer-50]"
2887.TW,Taishin Financial Holding Co. Ltd. ,Taiwan,Diversified Banks,7548,1703,13577,12477100032,TWD,"[]"
009150.KO,Samsung Electro-Mechanics Co. Ltd. ,South Korea,Electronic Components,7513,6525,76,72693696,KRW,"[tech-100]"
3088.TSE,MatsukiyoCocokara & Co. ,Japan,Drug Retail,7474,6725,417,417848000,JPY,"[consumer-50]"
091990.KQ,Celltrion Healthcare Co. Ltd. ,South Korea,Health Care Distributors,7464,1569,161,141455008,KRW,"[]"
6963.TSE,ROHM Co. Ltd. ,Japan,Semiconductors,7438,3479,393,389336000,JPY,"[]"
7261.TSE,Mazda Motor Corporation ,Japan,Automobile Manufacturers,7418,29744,630,629963008,JPY,"[]"
033780.KO,KT&G Corporation ,South Korea,Tobacco,7406,4376,116,112810000,KRW,"[consumer-50]"
9501.TSE,Tokyo Electric Power Company Holdings Incorporated ,Japan,Electric Utilities,7402,54898,1602,1602150016,JPY,"[]"
1101.TW,Taiwan Cement Corp. ,Taiwan,Construction Materials,7369,3842,7136,7136180224,TWD,"[]"
4904.TW,Far EasTone Telecommunications Co. Ltd. ,Taiwan,Wireless Telecommunication Services,7357,2904,3259,3258500096,TWD,"[]"
352820.KO,HYBE Co. Ltd. ,South Korea,Movies and Entertainment,7316,1527,42,41649100,KRW,"[entertainment-100]"
1878.TSE,Daito Trust Construction Co.Ltd. ,Japan,Diversified Real Estate Activities,7302,11561,68,68190200,JPY,"[]"
4062.TSE,Ibiden Co.Ltd. ,Japan,Electronic Components,7241,2862,140,139608000,JPY,"[tech-100]"
6383.TSE,Daifuku Co. Ltd. ,Japan,Industrial Machinery and Supplies and Components,7029,4193,372,372252992,JPY,"[]"
2269.TSE,Meiji Holdings Co. Ltd. ,Japan,Packaged Foods and Meats,6955,7454,279,275500992,JPY,"[]"
9005.TSE,Tokyu Corporation ,Japan,Rail Transportation,6942,6649,598,600318976,JPY,"[]"
3003.TSE,Hulic Co. Ltd. ,Japan,Real Estate Operating Companies,6913,3181,761,762105024,JPY,"[]"
9532.TSE,Osaka Gas Co. Ltd. ,Japan,Gas Utilities,6881,16050,416,415680000,JPY,"[]"
316140.KO,Woori Financial Group Inc. ,South Korea,Diversified Banks,6866,7697,759,724958016,KRW,"[]"
9435.TSE,Hikari Tsushin Inc. ,Japan,Industrial Conglomerates,6854,4431,44,44403200,JPY,"[]"
2327.TW,Yageo Corporation ,Taiwan,Electronic Components,6834,3609,419,419220992,TWD,"[tech-100]"
8951.TSE,Nippon Building Fund Incorporation ,Japan,Office REITs,6833,653,2,1700990,JPY,"[]"
2883.TW,China Development Financial Holding Corporation ,Taiwan,Life and Health Insurance,6751,193,18421,16498599936,TWD,"[]"
7550.TSE,Zensho Holdings Co. Ltd. ,Japan,Restaurants,6735,5643,151,150794000,JPY,"[]"
2890.TW,SinoPac Financial Holdings Company Limited ,Taiwan,Diversified Banks,6693,1527,12386,12376399872,TWD,"[]"
1801.TSE,Taisei Corporation ,Japan,Construction and Engineering,6666,11357,187,187046000,JPY,"[]"
7181.TSE,Japan Post Insurance Co. Ltd. ,Japan,Life and Health Insurance,6547,23329,383,382705984,JPY,"[]"
6965.TSE,Hamamatsu Photonics K.K. ,Japan,Electronic Components,6538,1532,155,154852000,JPY,"[tech-100]"
6504.TSE,Fuji Electric Co. Ltd. ,Japan,Electrical Components and Equipment,6529,7191,143,142835008,JPY,"[]"
2408.TW,Nanya Technology Corporation ,Taiwan,Semiconductors,6312,1040,3098,3098040064,TWD,"[]"
7936.TSE,ASICS Corporation ,Japan,Footwear,6302,3801,183,183160000,JPY,"[consumer-50]"
2379.TW,Realtek Semiconductor Corp. ,Taiwan,Semiconductors,6291,3127,513,512863008,TWD,"[]"
4527.TSE,Rohto Pharmaceutical Co.Ltd. ,Japan,Personal Care Products,6197,1712,228,228139008,JPY,"[consumer-50]"
4204.TSE,Sekisui Chemical Co. Ltd. ,Japan,Homebuilding,6194,8615,425,426539008,JPY,"[]"
3661.TW,Alchip Technologies Limited ,Taiwan,Semiconductors,6189,699,74,73889296,TWD,"[]"
030200.KO,KT Corporation ,South Korea,Integrated Telecommunication Services,6188,19771,253,246412992,KRW,"[]"
1590.TW,AirTAC International Group ,Taiwan,Industrial Machinery and Supplies and Components,6081,874,200,200000000,TWD,"[]"
022100.KQ,Posco Dx Company Ltd. ,South Korea,IT Consulting and Other Services,6073,1107,152,151800000,KRW,"[]"
9602.TSE,Toho Co. Ltd. ,Japan,Movies and Entertainment,6050,1836,175,174916992,JPY,"[entertainment-100]"
4021.TSE,Nissan Chemical Corporation ,Japan,Diversified Chemicals,5958,1554,140,139474000,JPY,"[]"
003490.KO,Korean Air Lines Co. Ltd. ,South Korea,Passenger Airlines,5931,11586,369,368220992,KRW,"[consumer-50]"
011200.KO,HMM Company Limited ,South Korea,Marine Transportation,5868,9750,489,489039008,KRW,"[]"
3443.TW,Global Unichip Corp. ,Taiwan,Semiconductors,5681,875,134,134011000,TWD,"[]"
7186.TSE,Concordia Financial Group Ltd. ,Japan,Regional Banks,5493,1857,1174,1174109952,JPY,"[]"
3038.TSE,Kobe Bussan Co. Ltd. ,Japan,Food Retail,5221,3135,220,219108992,JPY,"[consumer-50]"
3283.TSE,Nippon Prologis REIT Inc. ,Japan,Industrial REITs,5208,403,3,2838900,JPY,"[]"
1803.TSE,Shimizu Corporation ,Japan,Construction and Engineering,5129,13767,731,731385984,JPY,"[]"
6465.TSE,Hoshizaki Corporation ,Japan,Industrial Machinery and Supplies and Components,5112,2455,145,144872992,JPY,"[]"
086280.KO,Hyundai Glovis Co. Ltd. ,South Korea,Air Freight and Logistics,5103,20243,38,37500000,KRW,"[]"
2702.TSE,McDonald's Holdings Company (Japan) Ltd. ,Japan,Restaurants,5101,2535,133,132959000,JPY,"[]"
051900.KO,LG H&H Co. Ltd. ,South Korea,Personal Care Products,5101,5444,17,14659800,KRW,"[consumer-50]"
6841.TSE,Yokogawa Electric Corporation ,Japan,Electronic Equipment and Instruments,5052,3328,262,261488992,JPY,"[tech-100]"
6532.TSE,BayCurrent Consulting Inc. ,Japan,Research and Consulting Services,5043,575,153,153240000,JPY,"[]"
4183.TSE,Mitsui Chemicals Inc. ,Japan,Commodity Chemicals,5009,12528,190,190064000,JPY,"[]"
326030.KO,SK Biopharmaceuticals Co. Ltd. ,South Korea,Pharmaceuticals,4982,220,78,78313200,KRW,"[]"
2618.TW,EVA Airways Corp. ,Taiwan,Passenger Airlines,4961,5380,5369,5399340032,TWD,"[consumer-50]"
2768.TSE,Sojitz Corporation ,Japan,Trading Companies and Distributors,4960,17151,211,222454000,JPY,"[]"
042660.KO,Hanwha Ocean Co. Ltd. ,South Korea,Construction Machinery and Heavy Transportation Equipment,4953,4321,217,239620992,KRW,"[]"
001570.KO,Kumyang Co. Ltd. ,South Korea,Commodity Chemicals,4947,132,56,57925400,KRW,"[]"
010140.KO,Samsung Heavy Industries Co. Ltd. ,South Korea,Construction Machinery and Heavy Transportation Equipment,4942,5000,854,854035968,KRW,"[]"
8439.TSE,Tokyo Century Corporation ,Japan,Specialized Finance,4932,9260,122,122401000,JPY,"[]"
2609.TW,Yang Ming Marine Transport Corporation ,Taiwan,Marine Transportation,4929,7435,3492,3492100096,TWD,"[]"
7747.TSE,Asahi Intecc Co. Ltd. ,Japan,Health Care Supplies,4782,623,272,271625984,JPY,"[]"
1402.TW,Far Eastern New Century Corporation ,Taiwan,Industrial Conglomerates,4779,8217,5352,5352099840,TWD,"[]"
5334.TSE,Niterra Co. Ltd. ,Japan,Automotive Parts and Equipment,4712,3966,203,202292000,JPY,"[]"
7276.TSE,Koito Manufacturing Co. Ltd. ,Japan,Automotive Parts and Equipment,4707,6206,308,307775008,JPY,"[]"
3291.TSE,Iida Group Holdings Co. Ltd. ,Japan,Homebuilding,4697,9900,280,280379008,JPY,"[]"
3529.TWO,eMemory Technology Inc. ,Taiwan,Semiconductors,4670,98,75,74622000,TWD,"[]"
8354.TSE,Fukuoka Financial Group Inc. ,Japan,Regional Banks,4651,1946,188,187704000,JPY,"[]"
2651.TSE,Lawson Inc. ,Japan,Food Retail,4647,7349,100,100078000,JPY,"[consumer-50]"
7735.TSE,SCREEN Holdings Co. Ltd. ,Japan,Semiconductor Materials and Equipment,4644,3173,95,95137000,JPY,"[tech-100,semiconductors-25]"
1605.TW,Walsin Lihwa Corporation ,Taiwan,Electrical Components and Equipment,4607,6016,4031,4031330048,TWD,"[]"
9147.TSE,Nippon Express HoldingsInc. ,Japan,Air Freight and Logistics,4604,16956,88,88579904,JPY,"[]"
7951.TSE,Yamaha Corporation ,Japan,Leisure Products,4576,3124,169,168788992,JPY,"[consumer-50]"
3436.TSE,Sumco Corporation ,Japan,Semiconductor Materials and Equipment,4554,3142,350,350167008,JPY,"[tech-100,semiconductors-25]"
8953.TSE,Japan Metropolitan Fund Investment Corporation ,Japan,Retail REITs,4520,606,7,6989090,JPY,"[]"
2670.TSE,ABC-MartInc. ,Japan,Apparel Retail,4501,2215,248,82539104,JPY,"[consumer-50]"
3635.TSE,Koei Tecmo Holdings Co. Ltd. ,Japan,Interactive Home Entertainment,4492,540,316,315369984,JPY,"[consumer-50]"
3289.TSE,Tokyu Fudosan Holdings Corporation ,Japan,Diversified Real Estate Activities,4462,7184,710,709622976,JPY,"[]"
2888.TW,Shin Kong Financial Holding Co. Ltd. ,Taiwan,Life and Health Insurance,4459,7207,15488,15487599616,TWD,"[]"
2383.TW,Elite Material Co. Ltd. ,Taiwan,Electronic Components,4425,1133,333,332918016,TWD,"[tech-100]"
9962.TSE,MISUMI Group Inc. ,Japan,Industrial Machinery and Supplies and Components,4414,2559,281,281422016,JPY,"[]"
3281.TSE,GLP J-REIT ,Japan,Industrial REITs,4406,351,5,4922130,JPY,"[]"
3231.TSE,Nomura Real Estate Holdings Inc. ,Japan,Diversified Real Estate Activities,4402,4595,174,173820992,JPY,"[]"
1102.TW,Asia Cement Corporation ,Taiwan,Construction Materials,4378,2776,3547,3546560000,TWD,"[]"
6361.TSE,Ebara Corporation ,Japan,Industrial Machinery and Supplies and Components,4354,5065,92,92316496,JPY,"[]"
402340.KO,SK Square Co. Ltd. ,South Korea,Industrial Conglomerates,4350,1803,139,138852000,KRW,"[]"
3099.TSE,Isetan Mitsukoshi Holdings Ltd. ,Japan,Broadline Retail,4320,3489,382,381945984,JPY,"[consumer-50]"
2377.TW,Micro-Star International Co. Ltd. ,Taiwan,Technology Hardware Storage and Peripherals,4303,5270,845,844856000,TWD,"[]"
011170.KO,Lotte Chemical Corporation ,South Korea,Commodity Chemicals,4299,16282,43,42490400,KRW,"[]"
3861.TSE,Oji Holdings Corporation ,Japan,Paper Products,4299,11950,991,991201984,JPY,"[]"
5332.TSE,Toto Ltd. ,Japan,Building Products,4295,4871,170,169592000,JPY,"[]"
066970.KQ,L&F Co. Ltd. ,South Korea,Electronic Components,4288,3950,34,21020000,KRW,"[tech-100]"
2105.TW,Cheng Shin Rubber Ind. Co. Ltd. ,Taiwan,Tires and Rubber,4278,3142,3241,3241420032,TWD,"[]"
011070.KO,LG Innotek Co. Ltd. ,South Korea,Electronic Components,4270,15351,24,23664500,KRW,"[tech-100]"
8369.TSE,The Bank of Kyoto Ltd. ,Japan,Regional Banks,4231,772,74,74660200,JPY,"[]"
7012.TSE,Kawasaki Heavy Industries Ltd. ,Japan,Industrial Machinery and Supplies and Components,4222,12315,168,167482000,JPY,"[]"
2615.TW,Wan Hai Lines Ltd. ,Taiwan,Marine Transportation,4209,4920,2806,2806149888,TWD,"[]"
6460.TSE,Sega Sammy Holdings Inc. ,Japan,Leisure Products,4168,2985,221,220800000,JPY,"[consumer-50]"
1476.TW,Eclat Textile Co. Ltd. ,Taiwan,Textiles,4150,1048,274,274367008,TWD,"[]"
9684.TSE,Square Enix Holdings Co. Ltd. ,Japan,Interactive Home Entertainment,4130,2449,120,119729000,JPY,"[consumer-50]"
3288.TSE,Open House Group Co. Ltd. ,Japan,Homebuilding,4127,7407,121,120564000,JPY,"[]"
4042.TSE,Tosoh Corporation ,Japan,Commodity Chemicals,4115,7281,318,318289984,JPY,"[]"
3349.TSE,COSMOS Pharmaceutical Corporation ,Japan,Drug Retail,4087,5924,40,39598900,JPY,"[consumer-50]"
5333.TSE,NGK Insulators Ltd. ,Japan,Industrial Machinery and Supplies and Components,4072,3939,306,306291008,JPY,"[]"
3017.TW,Asia Vital Components Co. Ltd. ,Taiwan,Technology Hardware Storage and Peripherals,4059,1808,383,383310016,TWD,"[]"
6753.TSE,Sharp Corporation ,Japan,Consumer Electronics,4046,17479,649,649273984,JPY,"[consumer-50]"
6845.TSE,Azbil Corporation ,Japan,Electronic Equipment and Instruments,4043,1961,132,131994000,JPY,"[tech-100]"
2875.TSE,Toyo Suisan Kaisha Ltd. ,Japan,Packaged Foods and Meats,4033,3070,102,102128000,JPY,"[]"
8984.TSE,Daiwa House REIT Investment Corporation ,Japan,Diversified REITs,4015,432,2,2320000,JPY,"[]"
6806.TSE,Hirose Electric Co.Ltd. ,Japan,Electronic Components,3988,1225,34,33451300,JPY,"[tech-100]"
000100.KO,Yuhan Corporation ,South Korea,Pharmaceuticals,3985,1383,71,70259800,KRW,"[]"
2610.TW,China Airlines Ltd. ,Taiwan,Passenger Airlines,3965,5343,6022,6021590016,TWD,"[consumer-50]"
005830.KO,DB Insurance Co. Ltd. ,South Korea,Property and Casualty Insurance,3962,15473,60,60043500,KRW,"[]"
088980.KO,Macquarie Korea Infrastructure Fund ,South Korea,Investment Banking and Brokerage,3927,279,436,0,KRW,"[]"
6370.TSE,Kurita Water Industries Ltd. ,Japan,Industrial Machinery and Supplies and Components,3918,2493,112,112402000,JPY,"[]"
2409.TW,AUO Corporation ,Taiwan,Electronic Components,3905,6959,7668,7667879936,TWD,"[tech-100]"
012450.KO,Hanwha Aerospace Co. Ltd. ,South Korea,Aerospace and Defense,3904,5801,51,50569400,KRW,"[]"
361610.KO,SK IE Technology Co. Ltd. ,South Korea,Specialty Chemicals,3894,461,71,71297600,KRW,"[]"
9706.TSE,Japan Airport Terminal Co. Ltd. ,Japan,Airport Services,3879,966,93,93136400,JPY,"[]"
2212.TSE,Yamazaki Baking Co. Ltd. ,Japan,Packaged Foods and Meats,3847,7696,206,205955008,JPY,"[]"
2002.TSE,Nisshin Seifun Group Inc. ,Japan,Packaged Foods and Meats,3788,5655,297,297379008,JPY,"[]"
042700.KO,HANMI Semiconductor Co. Ltd. ,South Korea,Semiconductor Materials and Equipment,3786,165,97,97339296,KRW,"[tech-100,semiconductors-25]"
009830.KO,Hanwha Solutions Corporation ,South Korea,Commodity Chemicals,3759,10659,172,169508992,KRW,"[]"
2360.TW,Chroma ATE Inc. ,Taiwan,Electronic Equipment and Instruments,3632,691,424,423710016,TWD,"[tech-100]"
7459.TSE,MediPal Holdings Corporation ,Japan,Health Care Distributors,3577,23574,213,212158000,JPY,"[]"
3116.TSE,Toyota Boshoku Corporation ,Japan,Automotive Parts and Equipment,3512,11960,187,186884000,JPY,"[]"
6113.TSE,Amada Co. Ltd. ,Japan,Industrial Machinery and Supplies and Components,3494,2616,346,343828992,JPY,"[]"
6446.TWO,PharmaEssentia Corporation ,Taiwan,Biotechnology,3465,122,331,332679008,TWD,"[]"
034220.KO,LG Display Co. Ltd. ,South Korea,Electronic Components,3462,17632,358,357816000,KRW,"[tech-100]"
5347.TWO,Vanguard International Semiconductor Corporation ,Taiwan,Semiconductors,3461,1314,1639,1638979968,TWD,"[]"
1963.TSE,JGC Holdings Corporation ,Japan,Construction and Engineering,3432,4624,241,240660992,JPY,"[]"
4581.TSE,Taisho Pharmaceutical Holdings Co. Ltd. ,Japan,Pharmaceuticals,3427,2166,82,81979696,JPY,"[]"
1504.TW,TECO Electric & Machinery Co. Ltd. ,Taiwan,Electrical Components and Equipment,3406,1920,2109,2109280000,TWD,"[]"
4536.TSE,Santen Pharmaceutical Co. Ltd. ,Japan,Pharmaceuticals,3405,1977,367,367575008,JPY,"[]"
7453.TSE,Ryohin Keikaku Co. Ltd. ,Japan,Broadline Retail,3402,4017,264,263727008,JPY,"[consumer-50]"
9506.TSE,Tohoku Electric Power Company Incorporated ,Japan,Electric Utilities,3400,21320,500,500012000,JPY,"[]"
8060.TSE,Canon Marketing Japan Inc. ,Japan,Technology Distributors,3397,4157,130,129676000,JPY,"[]"
9142.TSE,Kyushu Railway Company ,Japan,Rail Transportation,3396,2702,157,157120000,JPY,"[]"
2353.TW,Acer Incorporated ,Taiwan,Technology Hardware Storage and Peripherals,3383,7554,3001,3001110016,TWD,"[]"
005070.KO,Cosmo Advanced Materials & Technology Co. Ltd. ,South Korea,Technology Hardware Storage and Peripherals,3380,503,31,30967800,KRW,"[]"
5938.TSE,LIXIL Corporation ,Japan,Building Products,3375,10339,287,287158016,JPY,"[]"
2834.TW,Taiwan Business Bank Ltd. ,Taiwan,Diversified Banks,3371,939,8222,8222410240,TWD,"[]"
036570.KO,Ncsoft Corporation ,South Korea,Interactive Home Entertainment,3335,1573,20,20307400,KRW,"[consumer-50]"
2368.TW,Gold Circuit Electronics Ltd. ,Taiwan,Electronic Components,3318,974,487,486688000,TWD,"[tech-100]"
5101.TSE,The Yokohama Rubber Co. Ltd. ,Japan,Tires and Rubber,3305,6309,161,160615008,JPY,"[]"
6976.TSE,Taiyo Yuden Co. Ltd. ,Japan,Electronic Components,3304,2147,125,124608000,JPY,"[tech-100]"
3391.TSE,Tsuruha Holdings Inc. ,Japan,Drug Retail,3294,6786,49,48601700,JPY,"[consumer-50]"
032640.KO,LG Uplus Corp. ,South Korea,Integrated Telecommunication Services,3286,10692,430,429828000,KRW,"[]"
6473.TSE,JTEKT Corporation ,Japan,Automotive Parts and Equipment,3286,12118,343,342974016,JPY,"[]"
4613.TSE,Kansai Paint Co. Ltd. ,Japan,Specialty Chemicals,3280,3632,226,227594000,JPY,"[]"
8954.TSE,ORIX JREIT Inc. ,Japan,Office REITs,3260,381,3,2760000,JPY,"[]"
5274.TWO,ASPEED Technology Inc. ,Taiwan,Semiconductors,3248,128,38,37821000,TWD,"[]"
2593.TSE,Ito En Ltd. ,Japan,Soft Drinks and Non-alcoholic Beverages,3225,3093,121,88236400,JPY,"[consumer-50]"
