symbol,name,country,industry,Market Capitalization,Total Revenue ,Shares Outstanding (mm),shares,currency,jakota_indicies
3529.TWO,eMemory Technology Inc. ,Taiwan,Semiconductors,4670,98,75,74622000,TWD,"[]"
2670.TSE,ABC-MartInc. ,Japan,Apparel Retail,4501,2215,248,247616992,JPY,"[consumer-50]"
4732.TSE,USS Co. Ltd. ,Japan,Automotive Retail,3943,633,240,239627008,JPY,"[consumer-50]"
361610.KO,SK IE Technology Co. Ltd. ,South Korea,Specialty Chemicals,3894,461,71,71297600,KRW,"[]"
042700.KO,HANMI Semiconductor Co. Ltd. ,South Korea,Semiconductor Materials and Equipment,3786,165,97,97339296,KRW,"[tech-100,semiconductors-25]"
009830.KO,Hanwha Solutions Corporation ,South Korea,Commodity Chemicals,3759,10659,172,169508992,KRW,"[]"
9941.TW,Yulon Finance Corporation ,Taiwan,Consumer Finance,3694,1262,648,548225024,TWD,"[consumer-50]"
2834.TW,Taiwan Business Bank Ltd. ,Taiwan,Diversified Banks,3371,939,8222,8222410240,TWD,"[]"
032640.KO,LG Uplus Corp. ,South Korea,Integrated Telecommunication Services,3286,10692,430,429828000,KRW,"[]"
383220.KO,F&F Co. Ltd ,South Korea,Apparel Accessories and Luxury Goods,3181,1445,38,38142700,KRW,"[consumer-50]"
8960.TSE,United Urban Investment Corporation ,Japan,Diversified REITs,3180,359,3,3098590,JPY,"[]"
8252.TSE,Marui Group Co. Ltd. ,Japan,Consumer Finance,3125,1524,189,189346000,JPY,"[consumer-50]"
1229.TW,Lien Hwa Industrial Holdings Corporation ,Taiwan,Packaged Foods and Meats,3057,393,1577,1577360000,TWD,"[]"
000720.KO,Hyundai Engineering & Construction Co. Ltd. ,South Korea,Construction and Engineering,3020,18760,112,111356000,KRW,"[]"
4004.TSE,Resonac Holdings Corporation ,Japan,Diversified Chemicals,2966,9356,181,181116992,JPY,"[]"
5929.TSE,Sanwa Holdings Corporation ,Japan,Building Products,2957,4159,221,221015008,JPY,"[]"
7282.TSE,Toyoda Gosei Co. Ltd. ,Japan,Automotive Parts and Equipment,2885,6928,130,129502000,JPY,"[]"
9024.TSE,Seibu Holdings Inc. ,Japan,Rail Transportation,2873,3052,301,300980000,JPY,"[]"
3293.TWO,International Games System Co.Ltd. ,Taiwan,Interactive Home Entertainment,2853,416,141,140900992,TWD,"[consumer-50]"
028300.KQ,HLB Co. Ltd. ,South Korea,Health Care Supplies,2850,61,129,39138300,KRW,"[]"
3533.TW,Lotes Co. Ltd ,Taiwan,Electronic Components,2846,826,111,111330000,TWD,"[tech-100]"
8464.TW,Nien Made Enterprise Co. LTD. ,Taiwan,Home Furnishings,2821,851,293,293020000,TWD,"[]"
8905.TSE,AEON Mall Co. Ltd. ,Japan,Real Estate Operating Companies,2764,2917,228,227555008,JPY,"[]"
8299.TWO,Phison Electronics Corp. ,Taiwan,Semiconductors,2755,1506,195,187699008,TWD,"[]"
128940.KO,Hanmi Pharm. Co. Ltd. ,South Korea,Pharmaceuticals,2745,1061,12,12441700,KRW,"[]"
2201.TW,Yulon Motor Company Ltd. ,Taiwan,Automobile Manufacturers,2739,2530,1063,1062470016,TWD,"[]"
6592.TW,Hotai Finance Co. Ltd. ,Taiwan,Consumer Finance,2732,738,667,621500032,TWD,"[consumer-50]"
3653.TW,Jentech Precision Industrial Co. Ltd ,Taiwan,Semiconductors,2725,396,141,138072992,TWD,"[]"
2327.TSE,NS Solutions Corporation ,Japan,IT Consulting and Other Services,2646,2043,92,91482896,JPY,"[]"
9904.TW,Pou Chen Corporation ,Taiwan,Footwear,2622,8321,2947,2946789888,TWD,"[consumer-50]"
2222.TSE,Kotobuki Spirits Co. Ltd. ,Japan,Packaged Foods and Meats,2571,377,156,155596000,JPY,"[]"
251270.KO,Netmarble Corporation ,South Korea,Interactive Home Entertainment,2546,1964,82,81934600,KRW,"[consumer-50]"
9987.TSE,Suzuken Co. Ltd. ,Japan,Health Care Distributors,2540,16148,83,82731904,JPY,"[]"
1721.TSE,COMSYS Holdings Corporation ,Japan,Construction and Engineering,2529,3919,120,120282000,JPY,"[]"
011780.KO,Kumho Petrochemical Co. Ltd. ,South Korea,Commodity Chemicals,2525,5187,27,23298800,KRW,"[]"
7564.TSE,Workman Co.Ltd. ,Japan,Apparel Retail,2524,901,82,81610304,JPY,"[consumer-50]"
8410.TSE,Seven Bank Ltd. ,Japan,Regional Banks,2524,1099,1174,1175330048,JPY,"[]"
8253.TSE,Credit Saison Co. Ltd. ,Japan,Consumer Finance,2507,2695,156,156328000,JPY,"[consumer-50]"
8304.TSE,Aozora Bank Ltd. ,Japan,Diversified Banks,2480,704,117,116781000,JPY,"[]"
3923.TSE,Rakus Co. Ltd. ,Japan,Application Software,2476,204,181,181214000,JPY,"[tech-100]"
2501.TSE,Sapporo Holdings Limited ,Japan,Brewers,2473,3480,78,78025800,JPY,"[consumer-50]"
2027.TW,Ta Chen Stainless Pipe Co. Ltd. ,Taiwan,Steel,2454,3432,2144,2143910016,TWD,"[]"
2059.TW,King Slide Works Co. Ltd. ,Taiwan,Technology Hardware Storage and Peripherals,2451,212,95,95297000,TWD,"[]"
010620.KO,Hyundai Mipo Dockyard Co. Ltd. ,South Korea,Construction Machinery and Heavy Transportation Equipment,2443,2922,40,39884300,KRW,"[]"
8985.TSE,Japan Hotel REIT Investment Corporation ,Japan,Hotel and Resort REITs,2431,144,5,4467010,JPY,"[]"
016360.KO,Samsung Securities Co. Ltd. ,South Korea,Investment Banking and Brokerage,2422,7269,89,89300000,KRW,"[]"
3023.TW,SINBON Electronics Co. Ltd. ,Taiwan,Electronic Components,2407,1069,240,239056000,TWD,"[tech-100]"
2579.TSE,Coca-Cola Bottlers Japan Holdings Inc. ,Japan,Soft Drinks and Non-alcoholic Beverages,2404,5779,179,179340000,JPY,"[consumer-50]"
7649.TSE,Sugi Holdings Co.Ltd. ,Japan,Drug Retail,2403,4819,60,60316500,JPY,"[consumer-50]"
2229.TSE,Calbee Inc. ,Japan,Packaged Foods and Meats,2397,1986,125,124925000,JPY,"[]"
8955.TSE,Japan Prime Realty Investment Corporation ,Japan,Office REITs,2383,255,1,997178,JPY,"[]"
3035.TW,Faraday Technology Corporation ,Taiwan,Semiconductors,2362,407,249,248550000,TWD,"[]"
6239.TW,Powertech Technology Inc. ,Taiwan,Semiconductors,2356,2335,747,747347008,TWD,"[]"
9006.TSE,Keikyu Corporation ,Japan,Rail Transportation,2349,1767,275,275281984,JPY,"[]"
4676.TSE,Fuji Media Holdings Inc. ,Japan,Broadcasting,2345,3744,220,222411008,JPY,"[consumer-50,entertainment-100]"
